Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
117,NF,"7,71,54,73,739","13,58,47,234",81,1,18,12.09.22
118,Tiësto,"7,71,38,21,346","76,00,09,949",653,0,16,21.08.22
119,5 Seconds of Summer,"7,67,20,03,639","52,36,02,841",165,1,14,19.09.22
120,A Boogie Wit da Hoodie,"7,63,44,46,872","3,24,97,18,029",138,0,17,14.09.22
121,Zedd,"7,58,57,30,125","1,00,81,14,646",139,3,14,21.08.22
122,Romeo Santos,"7,48,55,43,396","1,12,50,11,362",146,0,21,16.09.22
123,Robin Schulz,"7,47,00,13,873","31,54,57,501",224,1,15,04.09.22
124,Green Day,"7,40,37,34,026","5,36,841",374,0,13,16.09.22
125,$uicideboy$,"7,39,20,60,042","25,55,81,637",313,0,13,18.09.22
126,Nirvana,"7,29,51,32,559","11,37,194",347,1,14,19.09.22
127,SZA,"7,26,92,04,057","2,14,79,63,882",49,2,18,19.09.22
128,Luis Miguel,"7,26,74,78,981","25,83,720",312,0,17,16.09.22
129,DJ Khaled,"7,26,26,08,327","19,57,27,208",186,1,14,02.09.22
130,Metro Boomin,"7,26,21,15,562","20,98,72,990",118,1,18,31.07.22
131,Justin Timberlake,"7,22,53,31,308","2,16,71,68,755",172,1,13,18.09.22
132,Bob Marley & The Wailers,"7,20,63,64,367","5,67,37,031",618,0,13,29.08.22
133,BLACKPINK,"7,20,63,60,244","52,63,46,942",103,0,22,19.09.22
134,Machine Gun Kelly,"7,17,55,06,952","1,01,79,93,010",141,0,14,15.09.22
135,blackbear,"7,10,79,87,469","1,74,32,47,445",162,1,14,22.08.22
136,Black Eyed Peas,"7,05,51,75,439","8,86,56,205",213,0,13,18.09.22
137,Anne-Marie,"6,99,52,84,822","79,77,00,433",136,3,12,19.09.22
138,Lewis Capaldi,"6,95,80,06,277","1,385",48,2,10,31.08.22
139,Clean Bandit,"6,95,63,64,284","2,46,77,721",176,3,10,31.07.22
140,JAY-Z,"6,92,38,40,435","5,95,92,18,358",306,0,13,17.09.22
